seller_id,seller_state,orders,merchandise_value_brl,late_delivery_rate_pct,average_review_score,operational_status
640e21a7d01df7614a3b4923e990d40c,SP,116,7598.88,6.9,4.3,monitor
6d803cb79cc31c41c4c789a75933b3c7,SP,58,8711.4,6.9,4.24,monitor
1554a68530182680ad5c8b042c3ab563,MG,247,29052.53,6.88,4.29,monitor
08633c14ef2db992c11f840f04fad4cd,SP,74,7644.3,6.76,4.36,monitor
0509040ea3fe50071181bbc359eb7738,MG,89,3737.95,6.74,4.49,monitor
4830e40640734fc1c52cd21127c341d4,SP,208,9718.49,6.73,4.16,monitor
3b15288545f8928d3e65a8f949a28291,SP,104,14061.79,6.73,3.98,monitor
a7f13822ceb966b076af67121f87b063,SP,75,12477.64,6.67,3.31,monitor
701938c450705b8ae65fc923b70f35c7,SP,75,11983.28,6.67,4.0,monitor
d650b663c3b5f6fb392b6326366efa9a,SP,60,19242.9,6.67,4.2,monitor
2e1c9f22be269ef4643f826c9e650a52,SP,166,12640.19,6.63,4.13,monitor
c003204e1ab016dfa150abc119207b24,SP,197,25108.09,6.6,4.43,monitor
058fd0aa2bfdb2274e05e1ae971dabb6,SP,61,7667.9,6.56,4.38,monitor
4e17c65a516f69d023a2ae78b84f28d6,SP,61,7639.26,6.56,4.23,monitor
b6d44737c043328708f6749c2dbe50bd,SP,61,5284.6,6.56,4.52,monitor
7a241947449cc45dbfda4f9d0798d9d0,MG,61,7957.64,6.56,3.87,monitor
116ccb1a1604bc88e4d234a8c23f33de,SP,61,2004.89,6.56,4.64,monitor
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,107,15702.5,6.54,4.1,monitor
d6b1ce66b035a475f00c017792ff9769,SP,92,12277.4,6.52,4.22,monitor
001cca7ae9ae17fb1caed9dfb1094831,ES,200,25080.03,6.5,3.95,monitor
dc4a0fc896dc34b0d5bfec8438291c80,SP,231,24180.77,6.49,3.77,monitor
5f1dc28029d2c244352a68107ec2b542,SP,62,2807.3,6.45,4.37,monitor
05d2173d43ea568aa0540eba70d2ca76,MG,62,5759.66,6.45,4.08,monitor
850f4f8af5ea87287ac68de36e29107f,SP,187,45355.36,6.42,4.28,monitor
46dc3b2cc0980fb8ec44634e21d2718e,RJ,518,127161.22,6.37,4.18,monitor
f4aba7c0bca51484c30ab7bdc34bcdd1,SP,110,3009.79,6.36,3.93,monitor
59fb871bf6f4522a87ba567b42dafecf,SP,126,21708.57,6.35,4.22,monitor
96493fab2fbb13a14d0c0e8772eef5c3,SP,63,18969.0,6.35,4.08,monitor
5b925e1d006e9476d738aa200751b73b,SP,63,7748.5,6.35,4.6,monitor
6560211a19b47992c3666cc44a7e94c0,SP,1847,122776.83,6.33,3.93,monitor
0be8ff43f22e456b4e0371b2245e4d01,SP,158,11535.8,6.33,4.01,monitor
8444e55c1f13cd5c179851e5ca5ebd00,MG,95,21967.96,6.32,3.33,monitor
41b39e28db005d9731d9d485a83b4c38,SP,193,16872.75,6.22,4.1,monitor
fa40cc5b934574b62717c68f3d678b6d,SP,306,16005.97,6.21,4.46,monitor
01fdefa7697d26ad920e9e0346d4bd1b,PR,129,14921.43,6.2,4.36,monitor
